MOF,MOFid,CO2_capacity_001,CO2_capacity_005,CO2_capacity_01,CO2_capacity_05,CO2_capacity_25,metal_node,organic_linker
hMOF-6001590,CC[CH]OC(=CC=C=[C](=O)[O-])C#CC(=O)[O-].OC1=[C][C]=CC(=C1)C#CC(=O)[O-].[O-]C(=O)C#[C].[O].[V] MOFid-v1.cpf.cat0;6001590,0.0230812,0.122367,0.250047,1.2266,7.19694,[V],"['CC[CH]OC(=CC=C=[C](=O)[O-])C#CC(=O)[O-]', 'OC1=[C][C]=CC(=C1)C#CC(=O)[O-]', '[O-]C(=O)C#[C]', '[O]']"
hMOF-6002080,Nc1cc(ccc1C#Cc1c(N)cc(c(c1N)N)C(=O)[O-])C(=O)[O-].[O-]C(=O)C12C(N)CC(C(C1N)(N)N)(CC2(N)N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002080,0.0179677,0.0856405,0.180013,0.920552,4.212,[V],"['Nc1cc(ccc1C#Cc1c(N)cc(c(c1N)N)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C12C(N)CC(C(C1N)(N)N)(CC2(N)N)C(=O)[O-]', '[O]']"
hMOF-6005011,Fc1cc(C(=O)[O-])c(cc1N1C(=O)c2ccc3c4c2c(C1=O)c(F)cc4C(=O)N(C3=O)c1c(F)cc(c(c1F)F)C(=O)[O-])F.[O-]C(=O)c1ccc(c(c1)F)N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)c(c4C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-])F.[O].[V] MOFid-v1.rna.cat0;6005011,0.166076,0.750333,1.45291,4.55647,9.56856,[V],"['Fc1cc(C(=O)[O-])c(cc1N1C(=O)c2ccc3c4c2c(C1=O)c(F)cc4C(=O)N(C3=O)c1c(F)cc(c(c1F)F)C(=O)[O-])F', '[O-]C(=O)c1ccc(c(c1)F)N1C(=O)c2cc(F)c3c4c2c(C1=O)c(F)c(c4C(=O)N(C3=O)c1ccc(c(c1F)F)C(=O)[O-])F', '[O]']"
hMOF-6001333,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1cc(N)c2c(c1)c1ccc3c4c1c(c2N)[NH2][NH2]c4c(c(c3N)N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001333,0.75988,1.95671,2.46975,4.63464,8.43011,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1cc(N)c2c(c1)c1ccc3c4c1c(c2N)[NH2][NH2]c4c(c(c3N)N)C(=O)[O-]', '[O]']"
hMOF-6003743,[O-]C(=O)C#CC12C3(O)C4C1(O)C1(C2(C3(C41C#CC(=O)[O-])O)O)O.[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])O)O)O.[O].[V] MOFid-v1.rna.cat0;6003743,0.016593,0.0746684,0.134776,0.715868,3.3782,[V],"['[O-]C(=O)C#CC12C3(O)C4C1(O)C1(C2(C3(C41C#CC(=O)[O-])O)O)O', '[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])O)O)O', '[O]']"
hMOF-6001761,CC(=C(C#CC(=O)[O-])C)C#CC(=O)[O-].[O-]C(=O)c1cc2cc(C)c(cc2cc1C)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001761,0.0289179,0.133552,0.282998,1.3704,7.48996,[V],"['CC(=C(C#CC(=O)[O-])C)C#CC(=O)[O-]', '[O-]C(=O)c1cc2cc(C)c(cc2cc1C)C(=O)[O-]', '[O]']"
hMOF-6001210,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6001210,0.00621759,0.0243795,0.0433595,0.290263,0.652192,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C(=O)[O-]', '[O]']"
hMOF-6001717,OC(=C(C#CC(=O)[O-])O)C#CC(=O)[O-].[O-]C(=O)C=C(C(=C(C(=O)[O-])O)O)O.[O].[V] MOFid-v1.rna.cat0;6001717,0.00920421,0.051592,0.101004,0.560003,2.99645,[V],"['OC(=C(C#CC(=O)[O-])O)C#CC(=O)[O-]', '[O-]C(=O)C=C(C(=C(C(=O)[O-])O)O)O', '[O]']"
hMOF-6003006,[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])C.[O-]C(=O)c1cc2cc(C)c(cc2cc1C)C(=O)[O-].[O].[V] MOFid-v1.UNKNOWN.cat0;6003006,0.0407128,0.210026,0.467659,2.50179,6.57005,[V],"['[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])C', '[O-]C(=O)c1cc2cc(C)c(cc2cc1C)C(=O)[O-]', '[O]']"
hMOF-6001561,CCOC(=CC#CC(=O)[O-])C#CC(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001561,0.0188024,0.0976064,0.214015,1.03496,5.30614,[V],"['CCOC(=CC#CC(=O)[O-])C#CC(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]', '[O]']"
hMOF-6001131,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001131,0.00863945,0.0391655,0.0832267,0.424485,2.59903,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O]']"
hMOF-1002476,[O-]C(=O)c1cc2ccc(c(c2c(c1F)F)F)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.251985,0.931841,1.83869,4.86867,8.94575,[V],"['[O-]C(=O)c1cc2ccc(c(c2c(c1F)F)F)C(=O)[O-]', '[O]']"
hMOF-6004222,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6004222,0.0176431,0.0927163,0.184352,0.948407,4.80127,[V],"['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-]', '[O]']"
hMOF-6003811,[O-]C(=O)c1c(C)c(C)c(c2c1CC2)C(=O)[O-].[O-]C(=O)c1ccc(c(c1C)C)C=Cc1ccc(c(c1C)C)C(=O)[O-].[O].[V] MOFid-v1.UNKNOWN,0.705587,1.4336,1.80168,3.78333,8.29857,[V],"['[O-]C(=O)c1c(C)c(C)c(c2c1CC2)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1C)C)C=Cc1ccc(c(c1C)C)C(=O)[O-]', '[O]']"
hMOF-6002485,N=NC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C1C2(N=N)[N]NN[N]1)N=N.N=Nc1cc(N=Nc2ccc(cc2)C(=O)[O-])cc(c1C(=O)[O-])N=N.[O].[V] MOFid-v1.rna.cat0;6002485,0.0452612,0.179413,0.345173,1.39464,3.86664,[V],"['N=NC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C1C2(N=N)[N]NN[N]1)N=N', 'N=Nc1cc(N=Nc2ccc(cc2)C(=O)[O-])cc(c1C(=O)[O-])N=N', '[O]']"
hMOF-6004846,[O-]C(=O)C1=[C][C]=C([C]=[C]1)c1nnc(nn1)C1=[C]C(=C(C=[C]1)C(=O)[O-])Br.BrBr.[O-]C(=O)c1ccc(c(c1)Br)c1nnc(nn1)c1c(Br)cc(cc1Br)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6004846,0.038781,0.190067,0.375816,1.46416,4.56625,[V],"['[O-]C(=O)C1=[C][C]=C([C]=[C]1)c1nnc(nn1)C1=[C]C(=C(C=[C]1)C(=O)[O-])Br', 'BrBr', '[O-]C(=O)c1ccc(c(c1)Br)c1nnc(nn1)c1c(Br)cc(cc1Br)C(=O)[O-]', '[O]']"
hMOF-6000970,Fc1cc(ccc1N=Nc1cc(F)c(c(c1F)F)C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6000970,0.00985585,0.0542072,0.122213,0.631563,2.76614,[V],"['Fc1cc(ccc1N=Nc1cc(F)c(c(c1F)F)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O]']"
hMOF-6002833,N#CC12C3C4C2(C2C1C3(C42)C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002833,0.028195,0.146126,0.25728,1.54774,4.10509,[V],"['N#CC12C3C4C2(C2C1C3(C42)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]', '[O]']"
hMOF-6000086,ClC1=[C]C(=CC=C1C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl)c1cc(Cl)c(cc1Cl)C(=O)[O-].[O-]C(=O)C#C[C][C](C(=O)[O-])Cl.[O].[V] MOFid-v1.rna.cat1;6000086,0.109009,0.508103,0.858774,1.40027,1.75827,[V],"['ClC1=[C]C(=CC=C1C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl)c1cc(Cl)c(cc1Cl)C(=O)[O-]', '[O-]C(=O)C#C[C][C](C(=O)[O-])Cl', '[O]']"
hMOF-6003845,[O-]C(=O)C#Cc1cc(Br)c(c(c1Br)Br)C#CC(=O)[O-].[O-]C(=O)C1=[C]C=C([C]=[C]1)C=[C]C1=[C][C]=C([C]=[C]1)C(=O)[O-].BrBr.[O].[V] MOFid-v1.rna.cat0;6003845,0.0505034,0.226083,0.446001,1.91592,5.73687,[V],"['[O-]C(=O)C#Cc1cc(Br)c(c(c1Br)Br)C#CC(=O)[O-]', '[O-]C(=O)C1=[C]C=C([C]=[C]1)C=[C]C1=[C][C]=C([C]=[C]1)C(=O)[O-]', 'BrBr', '[O]']"
hMOF-6003076,[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)C12C3C4C1C1(C2C3(C41C(=O)[O-])Cl)Cl.[O].[V] MOFid-v1.rna.cat0;6003076,0.0174866,0.0864877,0.189044,0.986574,3.88698,[V],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C12C3C4C1C1(C2C3(C41C(=O)[O-])Cl)Cl', '[O]']"
hMOF-6003339,N#CC12C3(C#N)C4C1(C#CC(=O)[O-])C1(C2(C3(C41C#N)C#CC(=O)[O-])C#N)C#N.N#Cc1cc(C(=O)[O-])c(cc1N=Nc1ccc(cc1)C(=O)[O-])C#N.[O].[V] MOFid-v1.rna.cat0;6003339,0.018398,0.0906104,0.223536,0.980156,4.12745,[V],"['N#CC12C3(C#N)C4C1(C#CC(=O)[O-])C1(C2(C3(C41C#N)C#CC(=O)[O-])C#N)C#N', 'N#Cc1cc(C(=O)[O-])c(cc1N=Nc1ccc(cc1)C(=O)[O-])C#N', '[O]']"
hMOF-6003080,[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])C)C)C.[O].[V] MOFid-v1.rna.cat0;6003080,0.0261364,0.116494,0.198139,1.12287,5.00401,[V],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])C)C)C', '[O]']"
hMOF-6002645,CCCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])C(C2)OCCC.[O-]C(=O)C#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002645,0.0265729,0.135244,0.24332,1.27867,6.19327,[V],"['CCCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])C(C2)OCCC', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O]']"
hMOF-6003271,N=NC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])N=N.N=NC12C3C4C2(C2C1C3(C42N=N)C#CC(=O)[O-])C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003271,0.0197295,0.117685,0.261156,1.11126,4.8185,[V],"['N=NC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])N=N', 'N=NC12C3C4C2(C2C1C3(C42N=N)C#CC(=O)[O-])C#CC(=O)[O-]', '[O]']"
hMOF-6003780,N#CC(=Cc1ccc(c(c1)C#N)C(=O)[O-])c1cc(C#N)c(cc1C#N)C(=O)[O-].N#Cc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003780,0.0302149,0.153361,0.316684,1.56872,7.68487,[V],"['N#CC(=Cc1ccc(c(c1)C#N)C(=O)[O-])c1cc(C#N)c(cc1C#N)C(=O)[O-]', 'N#Cc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O]']"
